ShortName,Counts,Compare_Count,inconsistent vector,d (median),AV_Diff,AV_PMDC,AC_Diff,AC_PMDC,PR_Diff,PR_PMDC,UI_Diff,UI_PMDC,S_Diff,S_PMDC,C_Diff,C_PMDC,I_Diff,I_PMDC,A_Diff,A_PMDC
ISC,58,42,8,0,1,0.0238,4,0.0952,1,0.0238,1,0.0238,1,0.0238,0,0.0,1,0.0238,0,0.0
Bitdefender,85,74,59,2,19,0.2568,21,0.2838,14,0.1892,12,0.1622,33,0.4459,14,0.1892,17,0.2297,13,0.1757
Rapid7,93,81,66,2,9,0.1111,8,0.0988,17,0.2099,10,0.1235,28,0.3457,25,0.3086,25,0.3086,28,0.3457
Zephyr Project,96,91,88,2,27,0.2967,32,0.3516,17,0.1868,8,0.0879,34,0.3736,43,0.4725,41,0.4505,25,0.2747
Palo Alto,194,174,81,0,5,0.0287,27,0.1552,11,0.0632,12,0.069,31,0.1782,23,0.1322,18,0.1034,29,0.1667
Eaton,29,26,23,3,15,0.5769,12,0.4615,10,0.3846,8,0.3077,11,0.4231,8,0.3077,8,0.3077,10,0.3846
Synology,148,128,91,1,1,0.0078,6,0.0469,11,0.0859,10,0.0781,36,0.2812,35,0.2734,33,0.2578,42,0.3281
Rockwell Automation,77,64,34,1,6,0.0938,7,0.1094,6,0.0938,10,0.1562,16,0.25,9,0.1406,8,0.125,8,0.125
Puiterwijk,79,42,34,2,9,0.2143,6,0.1429,15,0.3571,12,0.2857,9,0.2143,14,0.3333,15,0.3571,6,0.1429
Baxter Healthcare,14,6,5,2,0,0.0,2,0.3333,1,0.1667,0,0.0,1,0.1667,4,0.6667,1,0.1667,1,0.1667
Zyxel,119,72,22,0,4,0.0556,5,0.0694,6,0.0833,5,0.0694,2,0.0278,5,0.0694,9,0.125,5,0.0694
Autodesk,98,31,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"Fortra, LLC",16,9,1,0,0,0.0,0,0.0,0,0.0,1,0.1111,0,0.0,0,0.0,0,0.0,0,0.0
SICK AG,43,34,16,0,1,0.0294,4,0.1176,1,0.0294,0,0.0,2,0.0588,5,0.1471,4,0.1176,9,0.2647
Silver Peak,8,8,6,2,0,0.0,6,0.75,3,0.375,3,0.375,0,0.0,2,0.25,1,0.125,2,0.25
CERT/CC,33,33,19,1,2,0.0606,5,0.1515,4,0.1212,9,0.2727,8,0.2424,5,0.1515,3,0.0909,8,0.2424
Qualcomm,989,829,530,1,19,0.0229,34,0.041,378,0.456,3,0.0036,49,0.0591,66,0.0796,62,0.0748,129,0.1556
Eclipse,40,31,18,1,2,0.0645,9,0.2903,7,0.2258,6,0.1935,3,0.0968,3,0.0968,2,0.0645,5,0.1613
Vivo Mobile,10,4,4,2,1,0.25,0,0.0,3,0.75,3,0.75,0,0.0,1,0.25,1,0.25,1,0.25
Johnson Controls,57,51,39,2,9,0.1765,13,0.2549,1,0.0196,5,0.098,17,0.3333,19,0.3725,14,0.2745,19,0.3725
PHP,55,49,38,1,3,0.0612,16,0.3265,5,0.102,11,0.2245,3,0.0612,14,0.2857,6,0.1224,14,0.2857
HiddenLayer,39,22,11,0,2,0.0909,0,0.0,3,0.1364,5,0.2273,1,0.0455,3,0.1364,2,0.0909,3,0.1364
Forcepoint,11,9,4,0,0,0.0,1,0.1111,1,0.1111,0,0.0,3,0.3333,2,0.2222,2,0.2222,2,0.2222
Yokogawa Group,4,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Mautic,21,16,15,2,1,0.0625,6,0.375,2,0.125,2,0.125,6,0.375,6,0.375,7,0.4375,11,0.6875
Okta,5,2,2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,2,1.0
Panasonic,12,10,5,0,0,0.0,1,0.1,0,0.0,0,0.0,4,0.4,1,0.1,1,0.1,1,0.1
Moxa,48,39,25,1,0,0.0,5,0.1282,10,0.2564,3,0.0769,2,0.0513,7,0.1795,9,0.2308,5,0.1282
Zoom,145,123,104,2,9,0.0732,25,0.2033,20,0.1626,35,0.2846,49,0.3984,23,0.187,28,0.2276,34,0.2764
CA Technologies,4,4,2,0,0,0.0,0,0.0,1,0.25,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0
Kubernetes,61,56,35,1,1,0.0179,13,0.2321,10,0.1786,3,0.0536,4,0.0714,3,0.0536,12,0.2143,14,0.25
Juniper,576,267,91,0,11,0.0412,22,0.0824,3,0.0112,18,0.0674,30,0.1124,18,0.0674,20,0.0749,24,0.0899
Odoo,2,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Progress,113,99,58,1,3,0.0303,22,0.2222,18,0.1818,8,0.0808,24,0.2424,20,0.202,19,0.1919,20,0.202
Arm Limited,2,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BeyondTrust,10,4,3,2,2,0.5,2,0.5,2,0.5,1,0.25,1,0.25,1,0.25,2,0.5,2,0.5
Ivanti,89,67,28,0,1,0.0149,0,0.0,0,0.0,5,0.0746,17,0.2537,7,0.1045,5,0.0746,9,0.1343
Axis,35,20,15,1,3,0.15,4,0.2,4,0.2,1,0.05,3,0.15,3,0.15,5,0.25,3,0.15
Mend.io,73,58,9,0,1,0.0172,0,0.0,4,0.069,4,0.069,0,0.0,2,0.0345,2,0.0345,2,0.0345
F-Secure,46,46,44,4,8,0.1739,5,0.1087,38,0.8261,24,0.5217,4,0.087,35,0.7609,25,0.5435,34,0.7391
Arista,44,28,22,2,3,0.1071,4,0.1429,6,0.2143,0,0.0,7,0.25,15,0.5357,4,0.1429,10,0.3571
Hitachi Energy,79,68,44,1,6,0.0882,20,0.2941,12,0.1765,7,0.1029,27,0.3971,11,0.1618,10,0.1471,12,0.1765
Proofpoint,19,17,3,0,0,0.0,0,0.0,0,0.0,1,0.0588,1,0.0588,2,0.1176,1,0.0588,1,0.0588
TR-CERT,263,132,25,0,2,0.0152,2,0.0152,4,0.0303,3,0.0227,6,0.0455,8,0.0606,12,0.0909,14,0.1061
Honeywell,35,19,15,2,0,0.0,3,0.1579,2,0.1053,1,0.0526,4,0.2105,10,0.5263,10,0.5263,6,0.3158
JFrog,57,33,23,1,0,0.0,18,0.5455,3,0.0909,1,0.0303,4,0.1212,5,0.1515,4,0.1212,4,0.1212
Cloudflare,46,43,34,2,8,0.186,20,0.4651,12,0.2791,12,0.2791,12,0.2791,10,0.2326,8,0.186,10,0.2326
Western Digital,44,43,32,2,15,0.3488,19,0.4419,11,0.2558,5,0.1163,11,0.2558,10,0.2326,7,0.1628,15,0.3488
ServiceNow,14,12,7,2,0,0.0,1,0.0833,3,0.25,0,0.0,7,0.5833,0,0.0,3,0.25,2,0.1667
Liferay,65,65,39,1,0,0.0,2,0.0308,12,0.1846,3,0.0462,3,0.0462,24,0.3692,26,0.4,24,0.3692
