ShortName,Counts,Compare_Count,inconsistent vector,d (median),AV_Diff,AV_PMDC,AC_Diff,AC_PMDC,PR_Diff,PR_PMDC,UI_Diff,UI_PMDC,S_Diff,S_PMDC,C_Diff,C_PMDC,I_Diff,I_PMDC,A_Diff,A_PMDC
CoolKit,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hillstone,1,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Drupal.org,1,1,1,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Meta Platforms,2,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Delinea,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ClickHouse,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Crafter CMS,16,16,16,2,0,0.0,12,0.75,1,0.0625,11,0.6875,1,0.0625,9,0.5625,8,0.5,2,0.125
Hallo Welt!,11,11,11,4,9,0.8182,0,0.0,1,0.0909,8,0.7273,11,1.0,0,0.0,11,1.0,0,0.0
ZUSO,8,8,8,2,0,0.0,0,0.0,2,0.25,0,0.0,6,0.75,2,0.25,2,0.25,1,0.125
Security Risk Advisors,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Mirantis,5,5,3,1,0,0.0,2,0.4,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2
Profelis,2,2,2,6,1,0.5,2,1.0,1,0.5,1,0.5,1,0.5,2,1.0,2,1.0,2,1.0
Alias Robotics,1,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Mozilla,2,2,2,2,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,1,0.5,1,0.5,1,0.5
VULSec Labs,1,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GE Vernova,3,3,3,1,0,0.0,3,1.0,1,0.3333,0,0.0,1,0.3333,1,0.3333,0,0.0,1,0.3333
Apple,1,1,1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0
Black Lantern Security,2,2,1,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5
OpenCloud OS,1,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Green Rocket,1,1,1,3,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0
Symantec,1,1,1,2,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
MIM Software,1,1,1,3,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0
Halborn,3,3,3,1,0,0.0,0,0.0,1,0.3333,0,0.0,2,0.6667,1,0.3333,0,0.0,0,0.0
42Gears,3,3,2,1,0,0.0,1,0.3333,1,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333
Securifera,25,25,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Illumio,1,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
OpenBMC,2,2,2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0
AlgoSec,2,2,2,6,2,1.0,2,1.0,2,1.0,0,0.0,2,1.0,2,1.0,1,0.5,2,1.0
TXOne,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ASUS,3,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NEC Corporation,5,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
OMRON Corporation,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
