ShortName,Counts,Compare_Count,inconsistent vector,d (median),AV_Diff,AV_PMDC,AC_Diff,AC_PMDC,PR_Diff,PR_PMDC,UI_Diff,UI_PMDC,S_Diff,S_PMDC,C_Diff,C_PMDC,I_Diff,I_PMDC,A_Diff,A_PMDC,G_I_CNA,G_C_CNA,G_I_NVD,G_C_NVD,Odds_Ratio,Num_CNA_Groups,Mean_CNA_Entropy,Num_NVD_Groups,Mean_NVD_Entropy,Equal_Severity,CNA_Higher,NVD_Higher,CNA_Critical,NVD_Critical,Role,Vendor,Open Source,Researcher,Bug Bounty Provider,Hosted Service,CERT,Consortium,Country
Trellix,246,232,167,1,19,0.0819,46,0.1983,30,0.1293,57,0.2457,82,0.3534,57,0.2457,35,0.1509,33,0.1422,0,2,0,2,0,2,0,2,0,184,16,32,5,4,CNA,1,0,1,0,0,0,0,USA
HPE,310,223,102,0,6,0.0269,23,0.1031,56,0.2511,12,0.0538,20,0.0897,27,0.1211,27,0.1211,29,0.13,2,28,4,26,0.4643,30,0.048,30,0.1161,174,19,30,0,11,CNA,1,0,0,0,0,0,0,USA
Lenovo,301,216,99,0,12,0.0556,24,0.1111,32,0.1481,19,0.088,4,0.0185,19,0.088,18,0.0833,21,0.0972,0,2,0,2,0,2,0,2,0,191,3,22,0,1,CNA,1,0,0,0,0,0,0,USA
CERT@VDE,398,207,45,0,3,0.0145,9,0.0435,15,0.0725,8,0.0386,13,0.0628,13,0.0628,11,0.0531,9,0.0435,0,1,0,1,0,1,0,1,0,188,7,12,4,7,CNA,0,0,0,0,0,1,0,Germany
JetBrains,209,202,168,1,10,0.0495,39,0.1931,58,0.2871,32,0.1584,102,0.505,41,0.203,43,0.2129,35,0.1733,,,,,,,,,,128,6,68,1,6,CNA,1,1,0,0,0,0,0,Czech Republic
QNAP,220,193,146,2,6,0.0311,35,0.1813,20,0.1036,18,0.0933,65,0.3368,94,0.487,96,0.4974,83,0.4301,4,16,2,18,2.25,20,0.1918,20,0.0959,104,14,75,3,17,CNA,1,0,0,0,0,0,0,Taiwan
Mattermost,224,183,132,1,4,0.0219,54,0.2951,50,0.2732,20,0.1093,15,0.082,41,0.224,27,0.1475,59,0.3224,,,,,,,,,,100,13,70,3,3,CNA,1,0,1,0,0,0,0,USA
Palo Alto,194,174,81,0,5,0.0287,27,0.1552,11,0.0632,12,0.069,31,0.1782,23,0.1322,18,0.1034,29,0.1667,,,,,,,,,,138,19,17,9,3,CNA,1,0,1,0,0,0,0,USA
INCD,213,169,115,1,45,0.2663,11,0.0651,58,0.3432,32,0.1893,26,0.1538,58,0.3432,55,0.3254,70,0.4142,0,3,2,1,0,3,0,3,0.6394,89,18,62,2,27,CNA,0,0,0,0,0,1,0,Israel
Huawei,169,163,136,2,53,0.3252,28,0.1718,70,0.4294,32,0.1963,18,0.1104,43,0.2638,49,0.3006,50,0.3067,5,3,0,8,inf,8,0.7647,8,0,91,12,60,3,4,CNA,1,0,0,0,0,0,0,China
Schneider Electric,189,161,78,0,7,0.0435,18,0.1118,21,0.1304,21,0.1304,7,0.0435,16,0.0994,25,0.1553,26,0.1615,,,,,,,,,,123,9,29,2,14,CNA,1,0,0,0,0,0,0,France
Google LLC,164,159,94,1,20,0.1258,54,0.3396,24,0.1509,19,0.1195,23,0.1447,24,0.1509,26,0.1635,32,0.2013,0,1,1,0,0,1,0,1,0.9183,112,12,35,3,5,"Root, CNA",1,1,1,0,0,0,0,USA
F5,188,158,50,0,3,0.019,21,0.1329,13,0.0823,2,0.0127,7,0.0443,15,0.0949,13,0.0823,16,0.1013,1,1,1,1,1,2,0.5,2,0.5,126,9,23,0,7,CNA,1,1,0,0,0,0,0,USA
HCL,215,151,139,2,26,0.1722,51,0.3377,38,0.2517,45,0.298,41,0.2715,57,0.3775,63,0.4172,51,0.3377,0,1,0,1,0,1,0,1,0,63,26,62,9,10,CNA,1,0,0,0,0,0,0,India
KrCERT/CC,144,143,105,1,52,0.3636,22,0.1538,17,0.1189,46,0.3217,18,0.1259,9,0.0629,11,0.0769,13,0.0909,0,1,0,1,0,1,0,1,0,76,3,64,2,58,CNA,0,0,0,0,0,1,0,South Korea
Canonical,164,137,94,1,1,0.0073,22,0.1606,24,0.1752,11,0.0803,52,0.3796,28,0.2044,20,0.146,26,0.1898,,,,,,,,,,90,18,29,2,2,CNA,1,1,0,0,0,0,0,UK
TR-CERT,263,132,25,0,2,0.0152,2,0.0152,4,0.0303,3,0.0227,6,0.0455,8,0.0606,12,0.0909,14,0.1061,1,6,1,6,1,7,0.1429,7,0.1429,120,4,8,1,3,CNA,0,0,0,0,0,0,0,Turkiye
SolarWinds,147,130,72,1,54,0.4154,16,0.1231,5,0.0385,6,0.0462,28,0.2154,16,0.1231,11,0.0846,20,0.1538,1,4,1,4,1,5,0.1623,5,0.1623,102,6,22,2,13,CNA,1,0,0,0,0,0,0,USA
Synology,148,128,91,1,1,0.0078,6,0.0469,11,0.0859,10,0.0781,36,0.2812,35,0.2734,33,0.2578,42,0.3281,0,1,0,1,0,1,0,1,0,69,19,40,10,14,CNA,1,0,0,0,0,0,0,Taiwan
