ShortName,Counts,Compare_Count,inconsistent vector,d (median),AV_Diff,AV_PMDC,AC_Diff,AC_PMDC,PR_Diff,PR_PMDC,UI_Diff,UI_PMDC,S_Diff,S_PMDC,C_Diff,C_PMDC,I_Diff,I_PMDC,A_Diff,A_PMDC,G_I_CNA,G_C_CNA,G_I_NVD,G_C_NVD,Odds_Ratio,Num_CNA_Groups,Mean_CNA_Entropy,Num_NVD_Groups,Mean_NVD_Entropy,Equal_Severity,CNA_Higher,NVD_Higher,CNA_Critical,NVD_Critical,Role,Vendor,Open Source,Researcher,Bug Bounty Provider,Hosted Service,CERT,Consortium,Country
Hitachi Vantara,28,26,18,1,0,0,1,0.0385,5,0.1923,2,0.0769,4,0.1538,7,0.2692,8,0.3077,8,0.3077,0,1,0,1,0,1,0,1,0,16,6,4,0,1,CNA,1,0,0,0,0,0,0,USA
Eaton,29,26,23,3,15,0.5769,12,0.4615,10,0.3846,8,0.3077,11,0.4231,8,0.3077,8,0.3077,10,0.3846,,,,,,,,,,16,0,10,0,5,CNA,1,0,0,0,0,0,0,Ireland
Baidu,25,25,25,3,1,0.04,2,0.08,0,0,23,0.92,25,1,6,0.24,0,0,17,0.68,,,,,,,,,,5,0,20,0,6,CNA,1,1,0,0,0,0,0,Cina
Securifera,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,25,0,0,0,0,CNA,0,0,1,0,0,0,0,USA
ZTE,25,24,23,2,10,0.4167,9,0.375,12,0.5,5,0.2083,6,0.25,6,0.25,9,0.375,10,0.4167,,,,,,,,,,8,4,12,0,1,CNA,1,0,0,0,0,0,0,China
Zscaler,37,24,21,2,7,0.2917,11,0.4583,7,0.2917,2,0.0833,3,0.125,11,0.4583,6,0.25,9,0.375,,,,,,,,,,13,4,7,0,2,CNA,1,0,0,0,0,0,0,USA
Vaadin,23,23,14,1,0,0,6,0.2609,4,0.1739,5,0.2174,2,0.087,1,0.0435,3,0.1304,1,0.0435,,,,,,,,,,13,3,7,0,0,CNA,1,1,0,0,0,0,0,Finland
Dassault,39,22,15,2,1,0.0455,4,0.1818,3,0.1364,0,0,5,0.2273,8,0.3636,8,0.3636,1,0.0455,,,,,,,,,,11,7,4,0,1,CNA,1,0,0,0,0,0,0,France
HiddenLayer,39,22,11,0,2,0.0909,0,0,3,0.1364,5,0.2273,1,0.0455,3,0.1364,2,0.0909,3,0.1364,,,,,,,,,,16,3,3,3,1,CNA,1,0,1,0,1,0,0,USA
Axis,35,20,15,1,3,0.15,4,0.2,4,0.2,1,0.05,3,0.15,3,0.15,5,0.25,3,0.15,,,,,,,,,,9,4,7,1,2,CNA,1,0,0,0,0,0,0,Sweden
BD,21,20,9,0,0,0,1,0.05,5,0.25,0,0,0,0,0,0,4,0.2,4,0.2,,,,,,,,,,18,1,1,0,0,CNA,1,0,0,0,0,0,0,USA
Brocade,52,20,9,0,1,0.05,1,0.05,1,0.05,5,0.25,4,0.2,2,0.1,3,0.15,1,0.05,,,,,,,,,,18,0,2,0,1,CNA,1,0,0,0,0,0,0,USA
NCSC-NL,28,20,14,1,2,0.1,2,0.1,5,0.25,2,0.1,1,0.05,4,0.2,0,0,5,0.25,,,,,,,,,,15,3,2,1,1,CNA,0,0,0,0,0,1,0,Netherlands
Honeywell,35,19,15,2,0,0,3,0.1579,2,0.1053,1,0.0526,4,0.2105,10,0.5263,10,0.5263,6,0.3158,,,,,,,,,,10,5,4,5,0,CNA,1,0,0,0,0,0,0,USA
Citrix,20,19,12,1,2,0.1053,3,0.1579,0,0,0,0,2,0.1053,5,0.2632,8,0.4211,7,0.3684,,,,,,,,,,11,3,5,2,2,CNA,1,0,0,0,0,0,0,USA
Grafana Labs,22,18,17,2,0,0,5,0.2778,6,0.3333,4,0.2222,8,0.4444,5,0.2778,7,0.3889,3,0.1667,,,,,,,,,,8,5,5,1,1,CNA,1,1,0,0,0,0,0,USA
Canon Inc.,22,18,3,0,0,0,3,0.1667,1,0.0556,1,0.0556,0,0,0,0,0,0,0,0,,,,,,,,,,15,0,3,0,0,CNA,1,0,0,0,0,0,0,UK
VulnCheck,28,18,4,0,0,0,0,0,2,0.1111,0,0,2,0.1111,0,0,0,0,0,0,,,,,,,,,,16,1,1,1,1,CNA,0,0,1,1,0,0,0,USA
OpenAnolis,19,18,18,3,8,0.4444,4,0.2222,5,0.2778,13,0.7222,5,0.2778,3,0.1667,12,0.6667,4,0.2222,,,,,,,,,,14,0,4,0,0,CNA,1,1,0,0,0,0,0,China
CISA U.S. CG,37,17,7,0,1,0.0588,1,0.0588,0,0,0,0,1,0.0588,3,0.1765,4,0.2353,4,0.2353,,,,,,,,,,11,1,5,0,3,CNA,0,0,0,0,0,1,0,USA
Proofpoint,19,17,3,0,0,0,0,0,0,0,1,0.0588,1,0.0588,2,0.1176,1,0.0588,1,0.0588,,,,,,,,,,17,0,0,0,0,CNA,1,0,0,0,1,0,0,USA
Mautic,21,16,15,2,1,0.0625,6,0.375,2,0.125,2,0.125,6,0.375,6,0.375,7,0.4375,11,0.6875,,,,,,,,,,6,7,3,1,1,CNA,1,1,0,0,0,0,0,USA
Crafter CMS,16,16,16,2,0,0,12,0.75,1,0.0625,11,0.6875,1,0.0625,9,0.5625,8,0.5,2,0.125,,,,,,,,,,4,1,11,0,1,CNA,1,1,0,0,0,0,0,USA
CyberDanube,15,15,9,1,0,0,0,0,0,0,0,0,3,0.2,4,0.2667,2,0.1333,5,0.3333,,,,,,,,,,10,4,1,4,1,CNA,1,0,1,0,0,0,0,Austria
NetApp,18,15,9,1,0,0,1,0.0667,1,0.0667,3,0.2,3,0.2,2,0.1333,0,0,0,0,,,,,,,,,,14,0,1,0,0,CNA,1,0,0,0,0,0,0,USA
Puppet,19,15,12,3,3,0.2,6,0.4,8,0.5333,1,0.0667,5,0.3333,5,0.3333,4,0.2667,5,0.3333,,,,,,,,,,5,1,9,0,5,,,,,,,,,
NortonLifeLock,15,14,14,2,3,0.2143,8,0.5714,5,0.3571,3,0.2143,2,0.1429,5,0.3571,2,0.1429,3,0.2143,,,,,,,,,,12,1,1,0,1,CNA,1,0,0,0,0,0,0,USA
CERT.PL,24,14,5,0,3,0.2143,0,0,2,0.1429,0,0,2,0.1429,2,0.1429,1,0.0714,3,0.2143,,,,,,,,,,13,1,0,0,0,CNA,0,0,0,0,0,1,0,Poland
Eset,15,14,9,1,0,0,3,0.2143,1,0.0714,1,0.0714,1,0.0714,2,0.1429,4,0.2857,1,0.0714,,,,,,,,,,12,0,2,0,0,CNA,1,0,1,0,0,0,0,Slovak Republic
OpenNMS,14,14,14,4,6,0.4286,3,0.2143,9,0.6429,0,0,10,0.7143,10,0.7143,6,0.4286,5,0.3571,,,,,,,,,,11,1,2,0,0,CNA,1,1,0,0,0,0,0,USA
Unisoc,14,14,14,2,0,0,2,0.1429,9,0.6429,4,0.2857,2,0.1429,2,0.1429,6,0.4286,3,0.2143,1,3,0,4,inf,4,0.25,4,0,11,2,1,0,0,CNA,1,0,0,0,0,0,0,China
Dragos,14,13,12,2,0,0,4,0.3077,3,0.2308,3,0.2308,7,0.5385,5,0.3846,2,0.1538,4,0.3077,,,,,,,,,,7,0,6,0,2,CNA,1,0,1,0,0,0,0,USA
TianoCore.org,15,13,9,1,1,0.0769,4,0.3077,1,0.0769,0,0,5,0.3846,5,0.3846,6,0.4615,1,0.0769,1,0,0,1,inf,1,1,1,0,10,0,3,0,1,CNA,1,1,0,0,0,0,0,USA
National Instruments,29,13,2,0,0,0,1,0.0769,0,0,0,0,0,0,0,0,1,0.0769,1,0.0769,,,,,,,,,,11,0,2,0,2,CNA,1,0,0,0,0,0,0,USA
Black Duck,15,13,5,0,1,0.0769,0,0,1,0.0769,1,0.0769,0,0,1,0.0769,0,0,2,0.1538,,,,,,,,,,10,2,1,0,1,CNA,1,0,1,0,0,0,0,USA
LG Electronics,17,13,9,2,0,0,1,0.0769,0,0,0,0,8,0.6154,6,0.4615,6,0.4615,5,0.3846,,,,,,,,,,6,2,5,0,0,CNA,1,0,0,0,0,0,0,South Korea
Fidelis,13,13,5,0,0,0,0,0,1,0.0769,1,0.0769,2,0.1538,2,0.1538,2,0.1538,2,0.1538,,,,,,,,,,8,2,3,2,0,CNA,1,0,0,0,0,0,0,USA
JPCERT/CC,38,12,6,0,0,0,0,0,1,0.0833,0,0,0,0,4,0.3333,5,0.4167,0,0,,,,,,,,,,9,2,1,0,0,"Root, CNA",0,0,0,0,0,1,0,Japan
ServiceNow,14,12,7,2,0,0,1,0.0833,3,0.25,0,0,7,0.5833,0,0,3,0.25,2,0.1667,,,,,,,,,,11,1,0,1,0,CNA,1,0,1,0,1,0,0,USA
Kaspersky,21,12,7,1,0,0,1,0.0833,0,0,0,0,2,0.1667,3,0.25,1,0.0833,1,0.0833,,,,,,,,,,7,1,4,0,1,CNA,1,0,1,0,0,0,0,Russia
Pegasystems,17,12,10,2,0,0,2,0.1667,4,0.3333,2,0.1667,7,0.5833,3,0.25,2,0.1667,2,0.1667,,,,,,,,,,11,0,1,0,1,CNA,1,0,0,0,0,0,0,USA
PaperCut,12,12,4,0,0,0,0,0,1,0.0833,0,0,1,0.0833,0,0,2,0.1667,2,0.1667,,,,,,,,,,10,1,1,0,1,CNA,1,0,0,0,0,0,0,Australia
Pure Storage,12,11,10,1,0,0,1,0.0909,2,0.1818,0,0,7,0.6364,0,0,1,0.0909,5,0.4545,,,,,,,,,,4,7,0,3,0,CNA,1,0,0,0,0,0,0,USA
HYPR,12,11,11,3,2,0.1818,10,0.9091,3,0.2727,2,0.1818,3,0.2727,5,0.4545,4,0.3636,4,0.3636,,,,,,,,,,5,1,5,0,1,CNA,1,0,0,0,0,0,0,USA
Hikvision,14,11,7,1,0,0,0,0,0,0,1,0.0909,2,0.1818,2,0.1818,4,0.3636,4,0.3636,,,,,,,,,,9,1,1,0,1,CNA,1,0,0,0,0,0,0,China
Glyph & Cog,11,11,9,3,0,0,9,0.8182,4,0.3636,5,0.4545,0,0,0,0,0,0,9,0.8182,,,,,,,,,,2,0,9,0,0,CNA,1,1,0,0,0,0,0,USA
Absolute,12,11,10,2,0,0,2,0.1818,0,0,0,0,9,0.8182,2,0.1818,10,0.9091,0,0,,,,,,,,,,4,7,0,0,0,CNA,1,0,0,0,0,0,0,USA
Hallo Welt!,11,11,11,4,9,0.8182,0,0,1,0.0909,8,0.7273,11,1,0,0,11,1,0,0,,,,,,,,,,3,0,8,0,0,CNA,1,0,0,0,0,0,0,Germany
TeamViewer,17,10,7,2,0,0,1,0.1,4,0.4,1,0.1,4,0.4,1,0.1,1,0.1,2,0.2,,,,,,,,,,7,3,0,3,0,CNA,1,0,0,0,0,0,0,Germany
Panasonic,12,10,5,0,0,0,1,0.1,0,0,0,0,4,0.4,1,0.1,1,0.1,1,0.1,,,,,,,,,,9,1,0,1,0,CNA,1,0,0,0,0,0,0,Japan
Docker,11,10,9,2,0,0,3,0.3,4,0.4,3,0.3,2,0.2,0,0,3,0.3,5,0.5,,,,,,,,,,4,1,5,0,2,CNA,1,1,0,0,0,0,0,USA
ASUSTOR,10,10,9,3,0,0,7,0.7,4,0.4,1,0.1,5,0.5,7,0.7,2,0.2,4,0.4,,,,,,,,,,5,3,2,0,2,CNA,1,0,0,0,0,0,0,Taiwan
Xiaomi,11,10,10,2,5,0.5,3,0.3,3,0.3,4,0.4,1,0.1,3,0.3,0,0,2,0.2,1,1,1,1,1,2,0.5,2,0.5,1,0,9,0,5,CNA,1,0,0,0,0,0,0,China
"Fortra, LLC",16,9,1,0,0,0,0,0,0,0,1,0.1111,0,0,0,0,0,0,0,0,,,,,,,,,,8,1,0,0,0,CNA,1,0,1,0,0,0,0,USA
Forcepoint,11,9,4,0,0,0,1,0.1111,1,0.1111,0,0,3,0.3333,2,0.2222,2,0.2222,2,0.2222,,,,,,,,,,6,1,2,0,2,CNA,1,0,0,0,0,0,0,USA
Qualys,9,9,9,2,0,0,1,0.1111,1,0.1111,5,0.5556,2,0.2222,5,0.5556,4,0.4444,0,0,,,,,,,,,,5,0,4,0,0,CNA,1,0,1,0,0,0,0,USA
ONEKEY,10,9,3,0,0,0,1,0.1111,2,0.2222,0,0,1,0.1111,0,0,0,0,0,0,,,,,,,,,,9,0,0,0,0,CNA,1,0,1,0,0,0,0,Germany
GovTech CSG,11,9,5,1,1,0.1111,0,0,0,0,0,0,1,0.1111,1,0.1111,3,0.3333,0,0,,,,,,,,,,9,0,0,0,0,CNA,0,0,1,0,0,0,0,Singapore
Snow Software,10,9,5,1,0,0,0,0,2,0.2222,1,0.1111,1,0.1111,3,0.3333,0,0,2,0.2222,,,,,,,,,,7,2,0,0,0,CNA,1,0,0,0,0,0,0,Sweden
Concrete CMS,9,9,9,4,0,0,8,0.8889,0,0,1,0.1111,9,1,5,0.5556,4,0.4444,4,0.4444,,,,,,,,,,0,0,9,0,0,CNA,0,1,0,0,0,0,0,USA
BlackBerry,15,8,4,0,0,0,0,0,2,0.25,0,0,1,0.125,3,0.375,1,0.125,0,0,,,,,,,,,,5,0,3,0,0,CNA,1,0,0,0,0,0,0,Canada
Trend Micro,29,8,4,0,2,0.25,1,0.125,1,0.125,0,0,2,0.25,1,0.125,1,0.125,1,0.125,0,1,0,1,0,1,0,1,0,6,1,1,0,1,CNA,1,0,0,0,0,0,0,Japan
Silver Peak,8,8,6,2,0,0,6,0.75,3,0.375,3,0.375,0,0,2,0.25,1,0.125,2,0.25,,,,,,,,,,5,0,3,0,1,CNA,1,0,0,0,0,0,0,USA
Carrier,9,8,2,0,0,0,0,0,1,0.125,1,0.125,2,0.25,0,0,0,0,0,0,,,,,,,,,,7,1,0,1,0,CNA,1,0,0,0,1,0,0,USA
Thales Group,11,8,7,2,2,0.25,3,0.375,3,0.375,2,0.25,2,0.25,2,0.25,3,0.375,0,0,,,,,,,,,,5,1,2,0,0,"Root, CNA",1,0,1,0,0,0,0,France
Sierra Wireless,10,8,5,2,1,0.125,3,0.375,3,0.375,2,0.25,3,0.375,3,0.375,3,0.375,2,0.25,,,,,,,,,,4,4,0,0,0,CNA,1,0,0,0,0,0,0,Canada
AppCheck,13,8,8,2,0,0,2,0.25,3,0.375,2,0.25,2,0.25,3,0.375,3,0.375,1,0.125,,,,,,,,,,2,2,4,1,1,CNA,0,0,1,0,0,0,0,UK
openEuler,16,8,7,2,2,0.25,0,0,2,0.25,2,0.25,3,0.375,4,0.5,2,0.25,2,0.25,,,,,,,,,,3,3,2,1,1,CNA,1,1,0,0,0,0,0,China
ZUSO,8,8,8,2,0,0,0,0,2,0.25,0,0,6,0.75,2,0.25,2,0.25,1,0.125,,,,,,,,,,6,2,0,2,0,CNA,0,0,1,0,0,0,0,Taiwan
Yugabyte,7,7,7,2,2,0.2857,0,0,3,0.4286,2,0.2857,1,0.1429,2,0.2857,1,0.1429,1,0.1429,,,,,,,,,,1,0,6,0,4,CNA,1,0,0,0,1,0,0,USA
IDEMIA,7,7,6,1,2,0.2857,0,0,0,0,0,0,0,0,1,0.1429,1,0.1429,3,0.4286,,,,,,,,,,4,1,2,0,2,CNA,1,0,1,0,0,0,0,France
Dahua,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2857,2,0.2857,0,1,0,1,0,1,0,1,0,5,0,2,0,1,CNA,1,0,0,0,0,0,0,China
Baxter Healthcare,14,6,5,2,0,0,2,0.3333,1,0.1667,0,0,1,0.1667,4,0.6667,1,0.1667,1,0.1667,,,,,,,,,,3,0,3,0,1,CNA,1,0,0,0,0,0,0,USA
WSO2,6,6,3,0,0,0,1,0.1667,2,0.3333,1,0.1667,0,0,1,0.1667,2,0.3333,0,0,,,,,,,,,,5,0,1,0,0,CNA,1,1,0,0,1,0,0,USA
wolfSSL,11,5,4,2,1,0.2,3,0.6,2,0.4,1,0.2,1,0.2,0,0,1,0.2,2,0.4,,,,,,,,,,2,1,2,1,0,CNA,1,1,0,0,0,0,0,USA
NLnet Labs,9,5,1,0,0,0,0,0,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,,,,,,,,,,4,1,0,1,0,CNA,1,1,0,0,0,0,0,Netherlands
WatchGuard,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,0,0,0,0,CNA,1,0,0,0,0,0,0,USA
KNIME,5,5,2,0,0,0,2,0.4,0,0,0,0,0,0,2,0.4,0,0,2,0.4,,,,,,,,,,4,0,1,0,0,CNA,1,0,0,0,0,0,0,Switzerland
Cato Networks,5,5,3,1,0,0,2,0.4,0,0,0,0,1,0.2,0,0,1,0.2,1,0.2,,,,,,,,,,4,0,1,0,0,CNA,1,0,1,0,0,0,0,Israel
Mirantis,5,5,3,1,0,0,2,0.4,1,0.2,0,0,0,0,0,0,0,0,1,0.2,,,,,,,,,,2,0,3,0,1,CNA,1,1,1,0,0,0,0,USA
Xerox,13,4,4,4,4,1,4,1,2,0.5,0,0,4,1,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,CNA,1,0,0,0,0,0,0,USA
Vivo Mobile,10,4,4,2,1,0.25,0,0,3,0.75,3,0.75,0,0,1,0.25,1,0.25,1,0.25,,,,,,,,,,2,1,1,0,1,CNA,1,0,0,0,0,0,0,China
CA Technologies,4,4,2,0,0,0,0,0,1,0.25,1,0.25,0,0,0,0,0,0,0,0,,,,,,,,,,3,1,0,1,0,CNA,1,0,0,0,0,0,0,USA
BeyondTrust,10,4,3,2,2,0.5,2,0.5,2,0.5,1,0.25,1,0.25,1,0.25,2,0.5,2,0.5,,,,,,,,,,2,0,2,0,1,CNA,1,0,0,0,0,0,0,USA
Netskope,4,4,3,1,1,0.25,1,0.25,1,0.25,0,0,0,0,1,0.25,1,0.25,0,0,,,,,,,,,,3,0,1,0,0,CNA,1,0,0,0,0,0,0,USA
Baicells,5,4,4,2,1,0.25,2,0.5,0,0,1,0.25,2,0.5,2,0.5,0,0,3,0.75,,,,,,,,,,2,0,2,0,2,,,,,,,,,
Google Devices,6,4,4,2,1,0.25,0,0,2,0.5,0,0,3,0.75,0,0,1,0.25,1,0.25,,,,,,,,,,2,2,0,1,0,CNA,1,0,0,0,0,0,0,USA
Zowe,6,4,3,2,0,0,1,0.25,0,0,1,0.25,2,0.5,2,0.5,2,0.5,2,0.5,,,,,,,,,,2,1,1,1,0,CNA,0,1,0,0,0,0,0,USA
Octopus,12,3,3,3,0,0,1,0.3333,1,0.3333,2,0.6667,0,0,2,0.6667,2,0.6667,2,0.6667,,,,,,,,,,2,0,1,0,0,CNA,1,1,0,0,0,0,0,Australia
PostgreSQL,17,3,2,1,0,0,1,0.3333,0,0,0,0,1,0.3333,0,0,0,0,0,0,,,,,,,,,,3,0,0,0,0,CNA,0,1,0,0,0,0,0,Canada
HeroDevs,9,3,3,3,0,0,3,1,0,0,2,0.6667,1,0.3333,1,0.3333,1,0.3333,2,0.6667,,,,,,,,,,3,0,0,0,0,CNA,1,1,1,0,0,0,0,USA
Tigera,4,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0.3333,2,0.6667,1,0.3333,,,,,,,,,,2,1,0,0,0,CNA,1,1,0,0,0,0,0,USA
OPPO Mobile,4,3,3,5,0,0,0,0,3,1,0,0,3,1,3,1,3,1,3,1,,,,,,,,,,0,0,3,0,3,CNA,1,0,0,0,0,0,0,China
Synaptics,4,3,2,1,0,0,1,0.3333,1,0.3333,0,0,0,0,1,0.3333,0,0,2,0.6667,,,,,,,,,,1,0,2,0,0,CNA,1,0,0,0,0,0,0,USA
Medtronic,3,3,2,1,0,0,0,0,1,0.3333,0,0,0,0,1,0.3333,0,0,0,0,,,,,,,,,,2,1,0,1,0,CNA,1,0,0,0,0,0,0,USA
SailPoint,10,3,3,2,0,0,1,0.3333,1,0.3333,1,0.3333,1,0.3333,1,0.3333,1,0.3333,1,0.3333,,,,,,,,,,2,1,0,1,0,CNA,1,0,0,0,0,0,0,USA
SoftIron,3,3,3,2,0,0,0,0,0,0,3,1,2,0.6667,0,0,0,0,0,0,,,,,,,,,,2,1,0,0,0,CNA,1,0,0,0,0,0,0,USA
Samsung TV & Appliance,6,3,3,3,0,0,0,0,1,0.3333,1,0.3333,0,0,2,0.6667,1,0.3333,2,0.6667,,,,,,,,,,1,0,2,0,1,CNA,1,1,1,0,0,0,0,South Korea
ASR,8,3,3,5,2,0.6667,3,1,2,0.6667,1,0.3333,3,1,2,0.6667,0,0,2,0.6667,,,,,,,,,,0,0,3,0,1,CNA,1,0,0,0,0,0,0,China
Document,4,3,2,4,2,0.6667,0,0,0,0,2,0.6667,2,0.6667,2,0.6667,0,0,0,0,,,,,,,,,,3,0,0,0,0,CNA,1,1,0,0,0,0,0,Germany
GE Vernova,3,3,3,1,0,0,3,1,1,0.3333,0,0,1,0.3333,1,0.3333,0,0,1,0.3333,,,,,,,,,,2,0,1,0,0,CNA,1,0,0,0,0,0,0,USA
Halborn,3,3,3,1,0,0,0,0,1,0.3333,0,0,2,0.6667,1,0.3333,0,0,0,0,,,,,,,,,,2,1,0,1,0,CNA,0,0,1,0,0,0,0,USA
42Gears,3,3,2,1,0,0,1,0.3333,1,0.3333,0,0,0,0,0,0,0,0,1,0.3333,,,,,,,,,,2,0,1,0,0,CNA,1,0,0,0,0,0,0,India
cirosec,6,2,2,2,0,0,1,0.5,1,0.5,1,0.5,1,0.5,0,0,0,0,0,0,,,,,,,,,,2,0,0,0,0,CNA,0,0,1,0,0,0,0,Germany
Okta,5,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,2,1,,,,,,,,,,1,0,1,0,0,CNA,1,0,0,0,0,0,0,USA
Odoo,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0,0,0,0,CNA,1,0,0,0,0,0,0,Belgium
DFINITY,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0,0,0,0,CNA,1,1,0,0,0,0,0,Switzerland
Logitech,4,2,2,2,0,0,0,0,1,0.5,1,0.5,1,0.5,0,0,0,0,1,0.5,,,,,,,,,,1,0,1,0,0,CNA,1,0,0,0,0,0,0,Switzerland
LY Corporation,4,2,2,3,0,0,1,0.5,0,0,0,0,0,0,2,1,2,1,1,0.5,,,,,,,,,,0,1,1,1,1,CNA,0,1,0,0,0,0,0,Japan
Open Design Alliance,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0,0,0,0,CNA,1,0,0,0,0,0,0,USA
Python,4,2,2,2,1,0.5,0,0,0,0,0,0,0,0,1,0.5,1,0.5,0,0,,,,,,,,,,1,1,0,0,0,CNA,1,1,0,0,0,0,0,USA
SonicWall,4,2,1,1,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0,0,0,0,CNA,1,0,0,0,0,0,0,USA
SBA Research,3,2,2,2,0,0,1,0.5,0,0,1,0.5,0,0,1,0.5,1,0.5,1,0.5,,,,,,,,,,1,0,1,0,0,CNA,0,0,1,0,0,0,0,Austria
dotCMS LLC,5,2,2,2,0,0,0,0,0,0,1,0.5,2,1,0,0,1,0.5,0,0,,,,,,,,,,2,0,0,0,0,CNA,0,0,0,0,1,0,0,USA
Tcpdump,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0,0,0,0,CNA,1,1,0,0,0,0,0,Canada
Meta Platforms,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0,0,0,0,CNA,1,1,1,0,0,0,0,USA
Profelis,2,2,2,6,1,0.5,2,1,1,0.5,1,0.5,1,0.5,2,1,2,1,2,1,,,,,,,,,,0,0,2,0,1,CNA,1,0,0,0,0,0,0,Turkiye
Mozilla,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,0.5,1,0.5,1,0.5,,,,,,,,,,1,1,0,0,0,CNA,1,1,0,0,0,0,0,USA
Black Lantern Security,2,2,1,2,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.5,,,,,,,,,,2,0,0,0,0,CNA,0,0,1,0,0,0,0,USA
OpenBMC,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,,,,,,,,2,0,0,0,0,CNA,1,1,0,0,0,0,0,USA
AlgoSec,2,2,2,6,2,1,2,1,2,1,0,0,2,1,2,1,1,0.5,2,1,,,,,,,,,,2,0,0,0,0,CNA,1,0,0,0,0,0,0,Israel
HP,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,0,0,0,0,0,0,USA
Ericsson,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,0,0,0,0,0,0,Sweden
Check Point,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,0,1,0,0,0,0,Israel
Arm Limited,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,1,0,0,0,0,0,UK
Cybellum,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,,,,,,,,,
B. Braun SE,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,,,,,,,,,,0,0,1,0,0,CNA,1,0,0,0,0,0,0,Germany
Flexera Software LLC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,1,1,0,0,0,0,USA
ELAN,1,1,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,1,0,0,0,0,CNA,1,0,0,0,0,0,0,Taiwan
Temporal,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,0,1,0,0,1,0,0,USA
SEC-VLab,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,0,0,1,0,0,0,0,Austria
Network Optix,1,1,1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,1,0,0,0,0,0,USA
Payara,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,1,0,0,0,0,0,UK
Hanwha Vision,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,0,0,0,0,0,0,South Korea
Phoenix,6,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,0,1,0,0,0,0,USA
N-able,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,1,0,0,0,0,CNA,1,0,0,0,0,0,0,USA
Checkmarx,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,1,1,1,0,0,0,0,Israel
NBU,2,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,,,,,,,,,,1,0,0,0,0,,,,,,,,,
Pentraze,6,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,0,0,1,0,0,0,0,Dominican Republic
DirectCyber,11,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,CNA,0,1,1,0,0,0,0,Australia
